Library + Lua 5.2,global table,table chain,c function call,lua function call,C++ object member call,Returning a class object,std random(C++11) bind
plain api,390,1490,520,1280,1420,2940,1390
plain api(*1),370,750,270,1280,820,2320,
kaguya,570,960,300,1400,1410,3070,950
Selene,3430,10180,380,3230,2750,4480,2120
sol(*1),510,3520,320,1130,2860,2780,
sol2,420,730,370,1290,1930,3830,1720
sol2(*1),430,700,310,1170,880,2680,
luwra,540,980,280,1240,1450,3140,1180
lua-intf,1250,2430,320,1330,2790,3380,1840
luabind-deboostified,730,1210,360,1390,1930,4720,1080
luacppinterface(*1),1000,8180,740,1380,1150,,
